Countries,"Cost of living, 2017"
Egypt,27.37
Ukraine,37.76
Sudan,38.29
Kyrgyzstan,40.38
Azerbaijan,40.56
Burma,41.08
Sierra Leone,41.32
Nepal,41.85
India,42.86
Tajikistan,43.51
